CMR Processing Modes	CMR-Verarbeitungsmodi
In some cases, CMRs that are usually used as instruction CMRs can be used as audit CMRs. For example, if you send a very large print job to a high-speed printer, the images in the print job are converted into the color space of that printer by using a color conversion CMR with the instruction processing mode. However, if you have to reprint part of the job on a different printer, the system must convert the print job into the color space of the second printer. In that case, the color conversion CMR of the first printer is used in the audit processing mode to move the images back into the PCS. Then, the system uses a color conversion CMR of the second printer in instruction mode to convert the images into its color space.	In einigen Fällen können CMRs, die normalerweise als CMRs für Anweisungen verwendet werden, als CMRs für Prüfungen dienen. Wenn Sie beispielsweise einen sehr umfangreichen Druckjob an einen Schnelldrucker senden, werden die Abbilder im Druckjob in den Farbbereich dieses Druckers konvertiert, und dazu wird eine CMR zur Farbkonvertierung mit dem Anweisungsverarbeitungsmodus verwendet. Wenn Sie jedoch einen Teil des Jobs auf einem anderen Drucker erneut drucken müssen, muss das System den Job in den Farbbereich des zweiten Druckers konvertieren. In diesem Fall dient die CMR zur Farbkonvertierung des ersten Druckers im Prüfverarbeitungsmodus dazu, die Abbilder zurück in den PCS zu verschieben. Im Anschluss daran verwendet das System eine CMR zur Farbkonvertierung des zweiten Druckers im Anweisungsverarbeitungsmodus, um die Abbilder in den zugehörigen Farbbereich zu konvertieren.
Page definitions for letter-sized paper	Pagedefs für Papier im Format Letter
page definitionsletter-sized paperP1A06462P1A08682	PagedefsPapier im Format LetterP1A06462P1A08682
Page definition	Page definition
Printable area (width by height, in inches)	Bedruckbarer Bereich (BreitexHöhe)
Print lines per page	Druckzeilen pro Seite
Print position: Down or across	Druckposition: Abwärts oder Horizontal
Recommended raster font	Empfohlener Raster-Font
Recommended outline font	Empfohlener Outline-Font
Printing direction	Druckrichtung
Page orientation	Seitenausrichtung
P1A06462(see notes 1, 2)	P1A06462(siehe Anmerkungen 1, 2)
8.17 by 10.67	8.17x10.67 Zoll/ 201,6x288,5 mm
64 at 6.0 lpi	64 bei 6,0 Zeilen pro Zoll
30/0	30/0
GT10	GT10
Across	Horizontal
Portrait	Hochformat
P1A08682(see note 3)	P1A08682(siehe Anmerkung 3)
8.17 by 10.67	8,17 x 10,67 Zoll / 201,6 x 288,5 mm
86 at 8.2 lpi	86 bei 8,2 Zeilen pro Zoll
24/0	24/0
GT12	GT12
Across	Horizontal
Portrait	Hochformat
This page definition is also valid for 9.5-by-11.0 inch continuous-form paper.	Diese Pagedef gilt auch für Endlospapier im Format 9,5x11,0 Zoll.
Designed for use with IBM 3812, 3816, 3820, 3825, 3827, 3835, 3900, 4028, 4224, and 4234 printers.	Zur Verwendung mit den Druckern IBM 3812, 3816, 3820, 3825, 3827, 3835, 3900, 4028, 4224 und 4234 konzipiert.
Designed for use with IBM 3820, 3827, and 3835 printers.	Zur Verwendung mit den Druckern IBM 3820, 3827 und 3835 konzipiert.
Conrefs	Conrefs
Ricoh	Ricoh
Ricoh	Ricoh
AFP Resource Installer	AFP Resource Installer
AFP Resource Installer	AFP Resource Installer
InfoPrint Manager	InfoPrint Manager
InfoPrint Manager for AIX	InfoPrint Manager für AIX
InfoPrint Manager for Windows	InfoPrint Manager für Windows
Ricoh ProcessDirector	Ricoh ProcessDirector
Ricoh ProcessDirector for Linux	Ricoh ProcessDirector für Linux
Ricoh ProcessDirector for AIX	Ricoh ProcessDirector für AIX
PSF for z/OS	PSF für z/OS
MVS Download	MVS-Download
AFP Download Plus	AFP Download Plus
Advanced Conversion and Indexing Facility	Advanced Conversion and Indexing Facility
ACIF	ACIF
Page Printer Formatting Aid	Page Printer Formatting Aid
PPFA	PPFA
Advanced Function Presentation	Advanced Function Presentation
AFP	AFP
InfoPrint 4000	InfoPrint 4000
InfoPrint 4100	InfoPrint 4100
InfoPrint 5000	InfoPrint 5000
AFP	AFP
Use this workflow for AFP input files that are submitted to a hot folder input device or with the LPD protocol. This workflow sets values for job properties by using values set in each step in the workflow and by using a job properties file.	Verwenden Sie diesen Workflow für AFP-Eingabedateien, die an eine Eingabeeinheit des Typs "Ordner für Sofortdruck" oder mit LPD-Protokoll übergeben werden. Dieser Workflow legt Werte für Jobmerkmale fest, indem er die in den einzelnen Schritten des Workflows festgelegten Werte und eine Jobmerkmaldatei benutzt.
AFPsuppliedworkflows	AFPbereitgestelltWorkflows
The input device specifies a control file, receive_lpd_jobtype.cfg, to change LPD control file parameters for a job to a job properties file in  property name=value format that is read by the first step in this workflow.When using this workflow with the LPD protocol, remove ${Job.InputFile} from the Job name property  in the SetJobPropsFromTextFile step.The EnableRepositioning and CreatePageRanges steps that this workflow contains return messages in the language in which the  base product is installed.	Die Eingabeeinheit legt eine Steuerdatei fest, receive_lpd_jobtype.cfg, um die LPD-Steuerdateiparameter eines Jobs in eine Jobmerkmaldatei im Format  Merkmalname=Wert zu ändern, die vom ersten Schritt in diesem Workflow gelesen wird.Wenn Sie diesen Workflow mit dem LPD-Protokoll verwenden, entfernen Sie ${Job.InputFile} aus dem Merkmal Jobname im Schritt SetJobPropsFromTextFile.Die in diesem Workflow enthaltenen Schritte EnableRepositioning und CreatePageRanges geben Nachrichten in der Sprache zurück, in der das -Basisprodukt installiert wurde.
Phases and steps	Phasen und Schritte
Receive:	Empfang:
SetJobPropsFromTextFile	SetJobPropsFromTextFile
DetectInputDataStream	DetectInputDataStream
Prepare:	Vorbereitung:
UseInlineFormDefinition	UseInlineFormDefinition
Print:	Druck:
EnableRepositioning	EnableRepositioning
CreatePageRanges	CreatePageRanges
PrintJobs	PrintJobs
Complete:	Abschluss:
RetainCompletedJobs	RetainCompletedJobs
RemoveJobs	RemoveJobs
Setting up user exit programs	Benutzer-Exit-Programme konfigurieren
can call user exit programs that can modify the AFP print file for a job before or after it prints. Authorized users can modify and compile the sample exit programs that  provides or they can write their own.  provides sample exit programs in the /usr/lpp/psf/exits (AIX and Linux) or C:\Program Files (x86)\Ricoh\PSF\exits (Windows) directory.	kann Benutzer-Exit-Programme aufrufen, die die AFP-Druckdatei für einen Job vor und nach dem Drucken ändern können. Berechtigte Benutzer können die von  bereitgestellten Muster-Exit-Programme ändern und kompilieren oder eigene Exit-Programme erstellen.  stellt Muster-Exit-Programme in den Verzeichnissen /usr/lpp/psf/exits (AIX und Linux) oder C:\Program Files (x86)\Ricoh\PSF\exits (Windows) bereit.
user exit program, samplesetting upexits	Benutzer-Exit-Programm, MusterKonfigurationExits
The sample job completion user exit writes job statistics to the /Ricoh/var/psf/ (AIX and Linux) or \PSF\var\psf\ (Windows) jobcompletion.log file. In the log entries,  appends aiw1 to the printer name as it appears in the  user interface.To set up a user exit program:	Das Muster-Jobabschluss-Benutzer-Exit-Programm schreibt Jobstatistiken in die Dateien /Ricoh/var/psf/ (AIX und Linux) oder \PSF\var\psf\ (Windows) jobcompletion.log.  hängt in Protokolleinträgen aiw1 an den Druckernamen an, der in der -Benutzerschnittstelle erscheint.Gehen Sie wie folgt vor, um ein Benutzer-Exit-Programm zu konfigurieren:
select the printer that you want to assign a user exit program to.	Wählen Sie im  den Drucker aus, dem Sie ein Benutzer-Exit-Programm zuordnen wollen.
Click Disable.	Klicken Sie auf Inaktivieren.
Select the printer again and click Properties.	Wählen Sie den Drucker erneut aus, und klicken Sie auf Merkmale.
In the properties notebook for the printer, click Exits.	Klicken Sie im Notizbuch der Merkmale für den Drucker auf Exits.
Enable the types of user exit programs that you want the printer to call by setting one or both of these properties to Yes:	Aktivieren Sie die Typen von Benutzer-Exit-Programmen, die der Drucker aufrufen soll, indem Sie eines oder beide der folgenden Merkmale auf Ja setzen:
Enable input data exit This exit program modifies the contents of the AFP print file before  sends the print file to the printer.	Eingabedaten-Exit aktivieren Dieses Exit-Programm ändert den Inhalt der AFP-Druckdatei, bevor  die Druckdatei an den Drucker sendet.
Enable job completion exit This exit program modifies the contents of the AFP print file after the printer reports that the job has printed.	Jobabschluss-Exit aktivieren Dieses Exit-Programm ändert den Inhalt der AFP-Druckdatei, nachdem der Drucker berichtet hat, dass der Job gedruckt wurde.
Specify the name of the compiled version of the user exit program for one or both of these properties:	Geben Sie für eines oder beide der folgenden Merkmale den Namen des kompilierten Benutzer-Exit-Programms an:
Input data exit program	Eingabedaten-Exit-Programm
Job completion exit program	Jobabschluss-Exit-Programm
If the compiled version of the user exit program resides in the /usr/lpp/psf/bin (AIX and Linux) or C:\Program Files (x86)\Ricoh\PSF\bin (Windows) directory, you do not need to include the path. If it resides in a different location, you can specify a path with the program name. The value for the combined path and program name can be up to 255 characters.	Befindet sich die kompilierte Version des Benutzer-Exit-Programms in den Verzeichnissen /usr/lpp/psf/bin (AIX und Linux) oder C:\Program Files (x86)\Ricoh\PSF\bin (Windows) müssen Sie den Pfad nicht in den Wert aufnehmen. Befindet sie sich an einer anderen Position, können Sie einen Pfad mit dem Programmnamen angeben. Der Wert für die Angabe von Pfad und Programmname darf maximal 255 Zeichen lang sein.
Click OK.	Klicken Sie auf OK.
Select the printer and click Enable.	Wählen Sie den Drucker aus, und klicken Sie auf Aktivieren.
Color Conversion CMRs	Farbumwandlungs-CMRs
Color conversion (CC) CMRs are used to convert colors to and from the ICC profile connection space (PCS), a device-independent color space. You can use them to prepare images for color or grayscale printing.	CMRs zur Farbkonvertierung werden benutzt, um Farben in den und aus dem ICC-PCS (Profile Connection Space), einem einheitenunabhängigen Farbbereich, umzuwandeln. Mithilfe dieser CMRs können Sie Abbilder für den Farb- oder Graustufendruck vorbereiten.
Color management resourcesColor conversionPassthroughColor conversion CMRsPassthrough CMRs	FarbmanagementressourcenFarbkonvertierungDurchgriffFarbumwandlungs-CMRsDurchgriffs-CMRs
Color conversion CMRs are an essential element of any AFP color management system because they are ICC profiles encapsulated in AFP structures. The AFP structures add information that your color management system can use, but it leaves the ICC profile unaltered.	CMRs zur Farbkonvertierung sind ein wesentliches Element jedes AFP-Farbmanagementsystems, weil es sich dabei um ICC-Profile handelt, die in AFP-Strukturen eingebunden sind. Über die AFP-Strukturen werden Informationen hinzugefügt, die vom Farbmanagementsystem verwendet werden können. Das ICC-Profil bleibt jedoch unverändert.
You can use color conversion CMRs to produce consistent colors on different devices. In a color system, they help ensure that the colors on your monitor are as close as possible to those that are printed. If you move the print job to a different printer, the colors are adjusted again to match the new printer.	Mithilfe von CMRs zur Farbkonvertierung können Sie einheitliche Farben auf unterschiedlichen Einheiten erzeugen. In einem Farbsystem wird sichergestellt, dass die Farben auf dem Monitor den gedruckten Farben möglichst ähnlich sind. Wenn Sie den Druckjob auf einen anderen Drucker verschieben, werden die Farben erneut angepasst und somit auf den neuen Drucker abgestimmt.
